SN,Name,64-QAM%,256-QAM%
43,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Pinal.PNG,35.83313148090476,4.0093659526857905
44,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Placer.PNG,30.888273012145564,1.6417096806166562
45,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Rockingham.PNG,57.257808532249875,2.302705829242142
46,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\San Janico.PNG,48.67318580047938,2.1380899247871725
47,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Sanoma.PNG,54.688666567119604,3.590861579811856
48,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Santa Rosa.PNG,64.3974358974359,3.0225641025641026
49,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Schuylkill.PNG,50.17438963627304,2.7014738034366057
50,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Shasta.PNG,29.058695558984912,1.0296103395061729
51,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Somerset.PNG,46.06811075871067,2.2612861866522707
52,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Tangipoha.PNG,60.86223279943157,2.184260313492505
53,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Tehama.PNG,51.55313524182012,6.811885490792547
54,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Thurston.PNG,64.02286296781709,2.6950633464394933
55,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Washington.PNG,47.43465515338101,2.8963109241292466
56,C:\Users\ggne0447\Documents\GitHub\fwlNetPlan\SitePlan\top100_cnt_1011\Whatcom.PNG,55.141978820452934,3.6309648571228954
