Site Name,Latitude,Longitude,Site Enabled,Device Name,Device Type,Max Power (dBm),Misc Loss (dB),Antenna Type,Mechanical Azimuth (deg),Mechanical Downtilt (deg),Electrical Downtilt (deg),Antenna Height AGL (m),Beamforming Gain (dB),LTE PDSCH Offset (dB),Cell Load (%)
S1043,30.7994028,-94.8685116,true,LTE-ENodeB-1940,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1044,30.8758094,-94.6980667,true,LTE-ENodeB-196,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1045,29.7261895,-95.5442664,true,LTE-ENodeB-1942,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1046,29.7358884,-95.6138911,true,LTE-ENodeB-1943,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1047,35.3075688,-101.9610591,true,LTE-ENodeB-1944,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1048,35.3062970,-101.6559268,true,LTE-ENodeB-1945,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1049,35.1934165,-102.1276570,true,LTE-ENodeB-1946,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S105,29.6993743,-95.0964754,true,LTE-ENodeB-1095,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1050,35.2587955,-101.6428831,true,LTE-ENodeB-1947,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1051,35.1873545,-101.7760883,true,LTE-ENodeB-1948,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1052,29.7285189,-95.5300499,true,LTE-ENodeB-1949,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1053,32.9370010,-95.9380972,true,LTE-ENodeB-1950,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1054,35.0978520,-101.7230676,true,LTE-ENodeB-1951,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1055,35.2080660,-101.8285659,true,LTE-ENodeB-197,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S1056,30.3030413,-103.9842899,true,LTE-ENodeB-1952,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1057,30.3088506,-104.0160075,true,LTE-ENodeB-1953,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1058,32.9673156,-95.7933608,true,LTE-ENodeB-1954,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1059,32.7890205,-95.7097941,true,LTE-ENodeB-1955,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S106,29.6657175,-95.1225658,true,LTE-ENodeB-1096,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1060,32.9666106,-95.8291366,true,LTE-ENodeB-1956,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1061,35.1085811,-101.9073639,true,LTE-ENodeB-1957,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1062,35.0314292,-101.8673999,true,LTE-ENodeB-1958,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1063,35.1323475,-102.1072007,true,LTE-ENodeB-1959,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1064,34.9988230,-101.9113782,true,LTE-ENodeB-1960,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1065,35.0505177,-101.8235807,true,LTE-ENodeB-1961,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1066,34.9602035,-101.9016478,true,LTE-ENodeB-198,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1067,31.3020365,-101.4657890,true,LTE-ENodeB-1962,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1068,31.1888715,-101.4551430,true,LTE-ENodeB-1963,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1069,33.4622266,-94.9102564,true,LTE-ENodeB-1964,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S107,29.6710462,-95.0872376,true,LTE-ENodeB-1097,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1070,33.6396535,-94.9205391,true,LTE-ENodeB-1965,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1071,33.6929380,-95.1369307,true,LTE-ENodeB-1966,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1072,33.9580320,-98.4933502,true,LTE-ENodeB-1967,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1073,33.6147985,-95.0599615,true,LTE-ENodeB-1968,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1074,33.5344157,-95.0317696,true,LTE-ENodeB-1969,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1075,33.5551040,-95.2515951,true,LTE-ENodeB-1970,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1076,33.8655803,-95.2507674,true,LTE-ENodeB-1971,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1077,33.7406416,-95.2904173,true,LTE-ENodeB-199,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S1078,31.4185299,-103.4848610,true,LTE-ENodeB-1972,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1079,31.0792032,-103.9050159,true,LTE-ENodeB-1973,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S108,29.6628745,-95.1138139,true,LTE-ENodeB-1098,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1080,28.3915569,-97.2809962,true,LTE-ENodeB-1974,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1081,28.2950677,-97.4146684,true,LTE-ENodeB-1975,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1082,28.3106187,-97.1524479,true,LTE-ENodeB-1976,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1083,35.9958052,-101.0501463,true,LTE-ENodeB-1977,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1084,31.1292847,-96.7480588,true,LTE-ENodeB-1978,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1085,31.1652518,-96.6955631,true,LTE-ENodeB-1979,Outdoor,45,2,AW3161,136,0,0,40,0,0,50
S1086,31.0115039,-96.6270371,true,LTE-ENodeB-1980,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1087,30.9552963,-96.6667271,true,LTE-ENodeB-1981,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1088,31.2384130,-96.4980938,true,LTE-ENodeB-200,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1089,31.0163067,-96.4809264,true,LTE-ENodeB-1982,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S109,29.6568676,-95.0727491,true,LTE-ENodeB-1099,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1090,31.1077717,-96.3099345,true,LTE-ENodeB-1983,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1091,30.8278058,-96.4282640,true,LTE-ENodeB-1984,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1092,30.7684986,-96.5803860,true,LTE-ENodeB-1985,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1093,31.5264239,-103.8263830,true,LTE-ENodeB-1986,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1094,31.4233216,-103.5063664,true,LTE-ENodeB-1987,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1095,30.7587709,-96.5555120,true,LTE-ENodeB-1988,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1096,30.9470824,-96.6109994,true,LTE-ENodeB-1989,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1097,30.8701450,-96.6820388,true,LTE-ENodeB-1990,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1098,30.8838980,-96.5470688,true,LTE-ENodeB-1991,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1099,32.9627860,-96.4292434,true,LTE-ENodeB-201,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S11,31.5398423,-95.6631491,true,LTE-ENodeB-1009,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S110,30.8479830,-93.9015513,true,LTE-ENodeB-1100,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1100,32.9504235,-96.4420767,true,LTE-ENodeB-1992,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1101,32.9277570,-96.4255108,true,LTE-ENodeB-1993,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1102,29.9349355,-95.4261107,true,LTE-ENodeB-1994,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1103,32.8227299,-96.4926692,true,LTE-ENodeB-1995,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1104,32.8553624,-96.3312141,true,LTE-ENodeB-1996,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
